Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,Age_Group
2014-08-27 11:29:31,37,Female,United States,IL,Unknown,No,Yes,Often,6-25,No,Yes,Yes,Don't Know,No,Yes,Yes,somewhat easy,No,No,some,Yes,No,Don't Know,Yes,No,36-45
2014-08-27 11:29:37,44,Male,United States,IN,Unknown,No,No,Rarely,More than 1000,No,No,Don't Know,No,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,No,No,No,No,No,Don't Know,No,36-45
2014-08-27 11:29:44,32,Male,Canada,Not Applicable,Unknown,No,No,Rarely,6-25,No,Yes,No,No,No,No,Don't Know,somewhat difficult,No,No,Yes,Yes,Yes,Yes,No,No,26-35
2014-08-27 11:29:46,31,Male,United Kingdom,Not Applicable,Unknown,Yes,Yes,Often,26-100,No,Yes,No,Yes,No,No,No,somewhat difficult,Yes,Yes,some,No,Don't Know,Don't Know,No,Yes,26-35
2014-08-27 11:30:22,31,Male,United States,TX,Unknown,No,No,Never,,Yes,Yes,Yes,No,Don't Know,Don't Know,Don't Know,Don't Know,No,No,some,Yes,Yes,Yes,Don't Know,No,26-35
2014-08-27 11:31:22,33,Male,United States,TN,Unknown,Yes,No,Sometimes,6-25,No,Yes,Yes,Don't Know,No,Don't Know,Don't Know,Don't Know,No,No,Yes,Yes,No,Don't Know,Don't Know,No,26-35
2014-08-27 11:31:50,35,Female,United States,MI,Unknown,Yes,Yes,Sometimes,1-5,Yes,Yes,No,No,No,No,No,somewhat difficult,Don't Know,Don't Know,some,No,No,No,Don't Know,No,36-45
2014-08-27 11:32:05,39,Male,Canada,Not Applicable,Unknown,No,No,Never,1-5,Yes,Yes,No,Yes,No,No,Yes,Don't Know,No,No,No,No,No,No,No,No,36-45
2014-08-27 11:32:39,42,Female,United States,IL,Unknown,Yes,Yes,Sometimes,,No,Yes,Yes,Yes,No,No,No,very difficult,Don't Know,No,Yes,Yes,No,Don't Know,No,No,36-45
2014-08-27 11:32:43,23,Male,Canada,Not Applicable,Unknown,No,No,Never,26-100,No,Yes,Don't Know,No,Don't Know,Don't Know,Don't Know,Don't Know,No,No,Yes,Yes,Don't Know,Don't Know,Yes,No,18-25
2014-08-27 11:32:44,31,Male,United States,OH,Unknown,No,Yes,Sometimes,6-25,Yes,Yes,Don't Know,No,No,No,Don't Know,Don't Know,No,No,some,Yes,No,No,Don't Know,No,26-35
2014-08-27 11:32:49,29,Male,Bulgaria,Not Applicable,Unknown,No,No,Never,,Yes,Yes,Don't Know,Don't Know,No,No,Don't Know,Don't Know,No,No,Yes,Yes,Yes,Yes,Don't Know,No,26-35
2014-08-27 11:33:23,42,Female,United States,CA,Unknown,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,No,No,Don't Know,somewhat difficult,Yes,Yes,Yes,Yes,Don't Know,Don't Know,No,Yes,36-45
2014-08-27 11:33:26,36,Male,United States,CT,Unknown,Yes,No,Never,,No,Yes,Don't Know,Don't Know,No,Don't Know,Don't Know,Don't Know,No,No,Yes,Yes,No,No,Don't Know,No,36-45
2014-08-27 11:33:57,27,Male,Canada,Not Applicable,Unknown,No,No,Never,6-25,No,Yes,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,somewhat easy,No,No,some,some,Don't Know,Yes,Yes,No,26-35
